co_localite_pj|co_localite_insse|co_localite_insee_pj|lib_commune|principale
00410700|04107|04107|Majastres|1
00410800|04108|04108|Malijai|1
00410850|04000|00410850|Maljasset|0
00410900|04109|04109|Mallefougasse Augès|1
00411000|04110|04110|Mallemoisson|1
00411100|04111|04111|Mane|1
00411200|04112|04112|Manosque|1
00411300|04113|04113|Marcoux|1
00411400|04000|00411400|Mariaud|0
00411500|04115|04115|Méailles|1
00411600|04116|04116|Les Mées|1
00411700|04000|00411700|Melan|0
00411750|04000|00411750|Melezen|0
00411800|04118|04118|Melve|1
00411850|04000|00411850|Méolans Bourg|0
00411900|04161|04161|Méolans Revel|1
00412000|04120|04120|Meyronnes|1
00412100|04121|04121|Mézel|1
00412150|04000|00412150|Mezien|0
00412200|04122|04122|Mirabeau|1
00412300|04123|04123|Mison|1
00412350|04000|00412350|Mison Village|0
00412400|04124|04124|Montagnac Montpezat|1
00412500|04000|00412500|Montblanc|0
00412600|04126|04126|Montclar|1
00412700|04127|04127|Montfort|1
00412800|04128|04128|Montfuron|1
00412900|04129|04129|Montjustin|1
00413000|04130|04130|Montlaux|1
00413100|04000|00413100|Montpezat|0
00413200|04132|04132|Montsalier|1
00413300|04133|04133|Moriez|1
00413400|04134|04134|La Motte du Caire|1
00413500|04135|04135|Moustiers Sainte Marie|1
00413600|04136|04136|La Mure Argens|1
00413700|04137|04137|Nibles|1
00413800|04138|04138|Niozelles|1
00413850|04000|00413850|Notre Dame De La Fleur|0
00413900|04139|04139|Noyers sur Jabron|1
00414000|04140|04140|Les Omergues|1
00414100|04141|04141|Ongles|1
00414200|04142|04142|Oppedette|1
00414300|04143|04143|Oraison|1
00414400|04144|04144|La Palud sur Verdon|1
00414500|04145|04145|Peipin|1
00414600|04000|00414600|La Pérusse|0
00414700|04000|00414700|Peyresq|0
00414800|04148|04148|Peyroules|1
00414900|04149|04149|Peyruis|1
00415000|04150|04150|Piégut|1
00415100|04151|04151|Pierrerue|1
00415200|04152|04152|Pierrevert|1
00415250|04000|00415250|Le Pin|0
00415300|04000|00415300|Le Poil|0
00415320|04000|00415320|Pompiery|0
00415350|04000|00415350|Pont De Soleil|0
00415400|04154|04154|Pontis|1
00415450|04000|00415450|Les Pourcelles|0
00415536|04226|00415536|Pra Loup|0
00415550|04155|04155|Prads Haute Bleone|1
00415560|04000|00415560|Praloup|0
00415570|04000|00415570|Les Prats|0
00415600|04156|04156|Puimichel|1
00415700|04157|04157|Puimoisson|1
00415800|04158|04158|Quinson|1
00415900|04159|04159|Redortiers Le Contadour|1
00415950|04000|00415950|Regusse|0
00416000|04160|04160|Reillanne|1
00416100|04000|00416100|Revel|0
00416200|04162|04162|Revest des Brousses|1
00416300|04163|04163|Revest du Bion|1
00416400|04164|04164|Revest Saint Martin|1
